path,recommended_permissions,notes
"doc/archive/EPC_Telegram.current.20260203T234139Z.archived","contents:read","default conservative read-only"
"doc/archive/EPC_Telegram.current.20260204T081932Z.archived","contents:read","default conservative read-only"
"doc/archive/REVIEW.md","contents:read","default conservative read-only"
"doc/archive/STR_Telegram.draft.archived.2026-02-03.md","contents:read","default conservative read-only"
"doc/archive/STR_Telegram.draft.archived.2026-02-03.md.archived.202602050013","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/AGENT_BEST_PRACTICES.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/AGENT_MODE_RUNBOOK.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ALBY_0_2_SUMMARY.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ALBY_SCRUM_PLAYBOOK.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/APPROVAL_UI_README.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ARCHITECTURE_STRATEGY.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/CI_AUDIT.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/DEPLOYMENT.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/EPC_Telegram.current","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/EPC_Telegram_all_todos.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/EPC_Telegram_detail_variants.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/EPC_Telegram_Report.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/EPC_Telegram_report_addendum.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/EXTERNAL_AILocalModelLibrary_INDEX.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/FUTURE_IMPROVEMENTS.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/GAIA_DETAILED_DOC.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/GITHUB_ENV_SETUP.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/HANDOFF.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/HISTORY_REWRITE_PLAN.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/MASTER_DOC_INDEX.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/MULTI_AGENT_ARCHITECTURE.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ONBOARDING.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ONLINE_AGENT_README.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ONLINE_AGENT_ROADMAP.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/OPENCLAW_REUSE.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/PLAN_AGENT_MODE.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/PLAN_TODAY.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/README.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/README_RUNBOOK.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/README_SESSION.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/README_SESSION_CHECKLIST.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ROADMAP.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/roadmap_monitoring.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/ROTATION_PILOT_README.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SCHEDULER_AUDIT.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SCHEDULER_RUNBOOK.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SECRETS.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SECRETS_HANDLING.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SECRETS_ROTATION.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SECRETS_TESTING.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/session_concept_draft.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SESSION_TODOS.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STORY_ALBY_EXTRA.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STORY_CONTROLLERS_EXTRA.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STORY_GISE_EXTRA.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STORY_TELEGRAM_PROPOSAL.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STR_TODO_F-helper-gise-part1.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STR_TODO_stoybl_bl_bl_1_tests.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/STR_TODO_top3_features.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/SUPERVISOR_NOTES.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TASKS.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_AS_IS_AND_ROADMAP.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_ENV_TEMPLATE.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_IMPROVEMENTS.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_REALTIME_SPEC.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_SETUP.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_STORY.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TELEGRAM_TRACE_LOG.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TEMPLATE_SOFTWARE_DOC.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/TOKEN_ROTATION_RECOMMENDATIONS.md","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/media/generate_wireframes.py","contents:read","default conservative read-only"
"doc/archive/pre_restructure_20260205T163407Z/patch_traces/pytest_basetemp_fix.md","contents:read","default conservative read-only"
"doc/CHECKPOINTS/CHECKPOINT_ROTATION.md","contents:read","default conservative read-only"
"doc/sprints/05_02_26_merged.md","contents:read","default conservative read-only"
"doc/sprints/06_02_2026_mini_sprint.md","contents:read","default conservative read-only"
"doc/sprints/mini_sessions_2026-02-06.md","contents:read","default conservative read-only"
"doc/sprints/mini_sprint_create_tokens.md","contents:read","default conservative read-only"
"doc/sprints/per_sprint_roadmap.md","contents:read","default conservative read-only"
"doc/sprints/ROTATION_ACTION_PLAN_2026-02-06.md","contents:read","default conservative read-only"
"doc/sprints/SPRINT_ROTATION.md","contents:read","default conservative read-only"
"doc/sprints/SPRINT_ROTATION_FREEZE_2026-02-06.md","contents:read","default conservative read-only"
"doc/sprints/analysis/detect_secrets.md","contents:read","default conservative read-only"
"doc/sprints/analysis/prioritized-issues.csv","issues:write","issue publisher"
"doc/sprints/analysis/prioritized-issues.ndjson","issues:write","issue publisher"
"doc/sprints/analysis/secrets_inventory_20260206.md","contents:read","default conservative read-only"
"doc/sprints/checklists/created-issues.md","issues:write","issue publisher"
"doc/sprints/checklists/sprint-1.md","contents:read","default conservative read-only"
"examples/secrets_migration_examples.py","contents:read","default conservative read-only"
"external/openclaw/.detect-secrets.cfg","contents:read","default conservative read-only"
"external/openclaw/.oxfmtrc.jsonc","contents:read","default conservative read-only"
"external/openclaw/.oxlintrc.json","contents:read","default conservative read-only"
"external/openclaw/.pre-commit-config.yaml","contents:read","default conservative read-only"
"external/openclaw/.secrets.baseline","contents:read","default conservative read-only"
"external/openclaw/.swiftlint.yml","contents:read","default conservative read-only"
"external/openclaw/AGENTS.md","contents:read","agent script, default read access"
"external/openclaw/appcast.xml","contents:read","default conservative read-only"
"external/openclaw/CHANGELOG.md","contents:read","default conservative read-only"
"external/openclaw/docker-setup.sh","contents:read","default conservative read-only"
"external/openclaw/Dockerfile","contents:read","default conservative read-only"
"external/openclaw/docs.acp.md","contents:read","default conservative read-only"
"external/openclaw/package.json","contents:read","default conservative read-only"
"external/openclaw/README-header.png","contents:read","default conservative read-only"
"external/openclaw/README.md","contents:read","default conservative read-only"
"external/openclaw/render.yaml","contents:read","default conservative read-only"
"external/openclaw/SECURITY.md","contents:read","default conservative read-only"
"external/openclaw/vitest.config.ts","contents:read","default conservative read-only"
"external/openclaw/.agent/workflows/update_clawdbot.md","contents:read","default conservative read-only"
"external/openclaw/.github/actionlint.yaml","contents:read","default conservative read-only"
"external/openclaw/.github/dependabot.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/auto-response.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/ci.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/docker-release.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/formal-conformance.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/install-smoke.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/labeler.yml","contents:read","default conservative read-only"
"external/openclaw/.github/workflows/workflow-sanity.yml","contents:read","default conservative read-only"
"external/openclaw/.pi/extensions/files.ts","contents:read","default conservative read-only"
"external/openclaw/.pi/extensions/prompt-url-widget.ts","contents:read","default conservative read-only"
"external/openclaw/.pi/prompts/is.md","contents:read","default conservative read-only"
"external/openclaw/.pi/prompts/landpr.md","contents:read","default conservative read-only"
"external/openclaw/.pi/prompts/reviewpr.md","contents:read","default conservative read-only"
"external/openclaw/apps/android/gradlew","contents:read","default conservative read-only"
"external/openclaw/apps/android/gradlew.bat","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/build.gradle.kts","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/MainActivity.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/NodeForegroundService.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/NodeRuntime.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/PermissionRequester.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/ScreenCaptureRequester.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/chat/ChatController.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewayDiscovery.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/gateway/GatewaySession.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/node/CameraCaptureManager.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/node/CanvasController.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/node/LocationCaptureManager.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/node/ScreenRecordManager.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/node/SmsManager.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/protocol/OpenClawCanvasA2UIAction.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/tools/ToolDisplay.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/ui/RootScreen.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/ui/SettingsSheet.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/ui/chat/ChatMarkdown.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/ui/chat/ChatMessageViews.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/ui/chat/ChatSheetContent.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/voice/TalkModeManager.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/java/ai/openclaw/android/voice/VoiceWakeManager.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/res/mipmap-xxxhdpi/ic_launcher_foreground.png","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/res/xml/backup_rules.xml","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/main/res/xml/data_extraction_rules.xml","contents:read","default conservative read-only"
"external/openclaw/apps/android/app/src/test/java/ai/openclaw/android/protocol/OpenClawCanvasA2UIActionTest.kt","contents:read","default conservative read-only"
"external/openclaw/apps/android/gradle/wrapper/gradle-wrapper.jar","contents:read","default conservative read-only"
"external/openclaw/apps/android/gradle/wrapper/gradle-wrapper.properties","contents:read","default conservative read-only"
"external/openclaw/apps/ios/project.yml","contents:read","default conservative read-only"
"external/openclaw/apps/ios/fastlane/Appfile","contents:read","default conservative read-only"
"external/openclaw/apps/ios/fastlane/Fastfile","contents:read","default conservative read-only"
"external/openclaw/apps/ios/fastlane/SETUP.md","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Assets.xcassets/AppIcon.appiconset/icon-1024.png","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Assets.xcassets/AppIcon.appiconset/icon-40@2x.png","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Camera/CameraController.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Gateway/GatewayConnectionController.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Gateway/GatewayDiscoveryModel.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Model/NodeAppModel.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Screen/ScreenController.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Screen/ScreenRecordService.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Settings/SettingsTab.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Sources/Voice/VoiceWakeManager.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Tests/NodeAppModelInvokeTests.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Tests/ScreenRecordServiceTests.swift","contents:read","default conservative read-only"
"external/openclaw/apps/ios/Tests/VoiceWakeManagerStateTests.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Package.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Icon.icon/Assets/openclaw-mac.png","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/AgentWorkspace.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/AnthropicAuthControls.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/AnthropicOAuth.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/AnthropicOAuthCodeState.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/AppState.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/AudioInputDeviceObserver.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CameraCaptureService.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CanvasA2UIActionMessageHandler.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CanvasFileWatcher.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CanvasManager.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CanvasScheme.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CanvasSchemeHandler.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CanvasWindowController.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ChannelConfigForm.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ChannelsSettings+ChannelState.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ChannelsStore+Config.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ChannelsStore.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CLIInstaller.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CLIInstallPrompter.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CommandResolver.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ConfigFileWatcher.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ConfigSchemaSupport.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ConfigSettings.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/Constants.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CritterIconRenderer.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CronJobEditor+Helpers.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CronJobsStore.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CronSettings+Layout.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/CronSettings+Testing.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/DebugActions.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/DebugSettings.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/DeviceModelCatalog.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/DiagnosticsFileLog.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ExecApprovals.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/ExecApprovalsSocket.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/GatewayConnection.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/GatewayEndpointStore.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/GatewayEnvironment.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/GatewayLaunchAgentManager.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/GatewayProcessManager.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/GeneralSettings.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/HealthStore.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/InstancesStore.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/LaunchAgentManager.swift","contents:read","default conservative read-only"
"external/openclaw/apps/macos/Sources/OpenClaw/Launchctl.swift","contents:read","default conservative read-only"
